rank,word,meaning
1,the,the
2,to,to
3,and,and
4,of,of
5,a,a/an
6,in,in
7,is,is
8,for,for
9,that,that
10,you,you
11,it,it
12,on,on
13,with,with
14,this,this
15,was,was
16,be,be
17,as,as
18,are,are
19,have,have
20,at,at
21,he,he
22,not,not
23,by,by
24,but,but
25,from,from
26,my,my
27,or,or
28,we,we
29,an,a/an
30,your,your
31,all,all
32,so,so
33,his,his
34,they,they
35,me,me
36,if,if
37,one,one
38,can,can
39,will,will
40,just,just
41,like,like
42,about,about
43,up,up
44,out,out
45,what,what
46,has,has
47,when,when
48,more,more
49,do,do
50,no,no
51,were,were
52,who,who
53,had,had
54,their,their
55,there,there
56,her,her
57,which,which
58,time,time
59,get,get
60,been,been
61,would,would
62,she,she
63,new,new
64,people,people
65,how,how
66,some,some
67,also,also
68,them,them
69,now,now
70,other,other
71,its,its
72,our,our
73,than,than
74,good,good
75,only,only
76,after,after
77,first,first
78,him,him
79,into,into
80,know,know
81,see,see
82,two,two
83,make,make
84,over,over
85,think,think
86,any,any
87,then,then
88,could,could
89,back,back
90,these,these
91,us,us
92,want,want
93,because,because
94,go,go
95,well,well
96,said,said
97,way,way
98,most,most
99,much,much
100,very,very
101,where,where
102,even,even
103,should,should
104,may,may
105,here,here
106,need,need
107,really,really
108,right,right
109,work,work
110,year,year
111,years,years
112,being,being
113,day,day
114,too,too
115,going,going
116,before,before
117,off,off
118,why,why
119,made,made
120,still,still
121,take,take
122,got,got
123,many,many
124,never,never
125,those,those
126,life,life
127,say,say
128,world,world
129,down,down
130,great,great
131,through,through
132,last,last
133,while,while
134,best,best
135,such,such
136,love,love
137,man,man
138,home,home
139,long,long
140,look,look
141,something,something
142,use,use
143,same,same
144,used,used
145,both,both
146,every,every
147,am,am
148,come,come
149,part,part
150,state,state
151,three,three
152,around,around
153,between,between
154,always,always
155,better,better
156,find,find
157,help,help
158,high,high
159,little,little
160,old,old
161,since,since
162,another,another
163,does,does
164,own,own
165,things,things
166,under,under
167,during,during
168,game,game
169,thing,thing
170,give,give
171,house,house
172,place,place
173,school,school
174,again,again
175,next,next
176,each,each
177,mr,mr
178,without,without
179,against,against
180,end,end
181,found,found
182,must,must
183,show,show
184,big,big
185,feel,feel
186,sure,sure
187,team,team
188,ever,ever
189,family,family
190,keep,keep
191,might,might
192,please,please
193,put,put
194,money,money
195,free,free
196,second,second
197,someone,someone
198,away,away
199,left,left
200,number,number
201,city,city
202,days,days
203,lot,lot
204,name,name
205,night,night
206,play,play
207,until,until
208,company,company
209,doing,doing
210,few,few
211,let,let
212,real,real
213,called,called
214,different,different
215,having,having
216,set,set
217,thought,thought
218,done,done
219,however,however
220,getting,getting
221,god,god
222,government,government
223,group,group
224,looking,looking
225,public,public
226,top,top
227,women,women
228,business,business
229,care,care
230,start,start
231,system,system
232,times,times
233,week,week
234,already,already
235,anything,anything
236,case,case
237,nothing,nothing
238,person,person
239,today,today
240,change,change
241,enough,enough
242,everything,everything
243,full,full
244,live,live
245,making,making
246,point,point
247,read,read
248,told,told
249,yet,yet
250,bad,bad
251,four,four
252,hard,hard
253,mean,mean
254,once,once
255,support,support
256,tell,tell
257,including,including
258,music,music
259,power,power
260,seen,seen
261,states,states
262,stop,stop
263,water,water
264,based,based
265,believe,believe
266,call,call
267,head,head
268,men,men
269,national,national
270,small,small
271,took,took
272,white,white
273,came,came
274,far,far
275,job,job
276,side,side
277,though,though
278,try,try
279,went,went
280,yes,yes
281,actually,actually
282,american,american
283,later,later
284,less,less
285,line,line
286,order,order
287,party,party
288,run,run
289,says,says
290,service,service
291,country,country
292,open,open
293,season,season
294,shit,shit
295,thank,thank
296,children,children
297,everyone,everyone
298,general,general
299,trying,trying
300,united,united
301,using,using
302,area,area
303,black,black
304,following,following
305,law,law
306,makes,makes
307,together,together
308,war,war
309,whole,whole
310,car,car
311,face,face
312,five,five
313,kind,kind
314,maybe,maybe
315,per,per
316,president,president
317,story,story
318,working,working
319,course,course
320,games,games
321,health,health
322,hope,hope
323,important,important
324,least,least
325,means,means
326,news,news
327,within,within
328,able,able
329,book,book
330,early,early
331,friends,friends
332,information,information
333,local,local
334,oh,oh
335,post,post
336,thanks,thanks
337,video,video
338,young,young
339,ago,ago
340,others,others
341,social,social
342,talk,talk
343,court,court
344,fact,fact
345,given,given
346,guys,guys
347,half,half
348,hand,hand
349,level,level
350,mind,mind
351,often,often
352,single,single
353,become,become
354,body,body
355,coming,coming
356,control,control
357,death,death
358,food,food
359,guy,guy
360,hours,hours
361,office,office
362,pay,pay
363,problem,problem
364,south,south
365,true,true
366,almost,almost
367,fuck,fuck
368,history,history
369,known,known
370,large,large
371,lost,lost
372,research,research
373,room,room
374,several,several
375,started,started
376,taking,taking
377,university,university
378,win,win
379,wrong,wrong
380,along,along
381,anyone,anyone
382,else,else
383,girl,girl
384,john,john
385,matter,matter
386,pretty,pretty
387,remember,remember
388,air,air
389,bit,bit
390,friend,friend
391,hit,hit
392,needs,needs
393,nice,nice
394,playing,playing
395,probably,probably
396,saying,saying
397,understand,understand
398,yeah,yeah
399,york,york
400,class,class
401,close,close
402,comes,comes
403,idea,idea
404,international,international
405,looks,looks
406,past,past
407,possible,possible
408,wanted,wanted
409,cause,cause
410,due,due
411,happy,happy
412,human,human
413,members,members
414,months,months
415,move,move
416,question,question
417,series,series
418,wait,wait
419,woman,woman
420,ask,ask
421,community,community
422,data,data
423,late,late
424,leave,leave
425,north,north
426,saw,saw
427,special,special
428,watch,watch
429,either,either
430,fucking,fucking
431,future,future
432,light,light
433,low,low
434,million,million
435,morning,morning
436,police,police
437,short,short
438,stay,stay
439,taken,taken
440,age,age
441,buy,buy
442,deal,deal
443,rather,rather
444,reason,reason
445,red,red
446,report,report
447,soon,soon
448,third,third
449,turn,turn
450,whether,whether
451,among,among
452,check,check
453,development,development
454,form,form
455,further,further
456,heart,heart
457,minutes,minutes
458,myself,myself
459,services,services
460,yourself,yourself
461,act,act
462,although,although
463,asked,asked
464,child,child
465,fire,fire
466,fun,fun
467,living,living
468,major,major
469,media,media
470,phone,phone
471,players,players
472,art,art
473,behind,behind
474,building,building
475,easy,easy
476,gonna,gonna
477,market,market
478,near,near
479,non,non
480,plan,plan
481,political,political
482,quite,quite
483,six,six
484,talking,talking
485,west,west
486,works,works
487,according,according
488,available,available
489,education,education
490,final,final
491,former,former
492,front,front
493,kids,kids
494,list,list
495,ready,ready
496,sometimes,sometimes
497,son,son
498,street,street
499,bring,bring
500,college,college
